filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label
normal_noisynormal_264_1309356143724_D.wav,0.656344831,0.040474333,460.6449778,460.9574743,990.2642501,0.028666331,-411.5292969,214.9555206,41.82465363,-35.14997482,3.924849749,43.07235718,19.26522255,-14.06583881,-5.791058064,15.05517387,8.228412628,-8.968398094,-4.605800152,normal
normal_noisynormal_216_1308245839516_D.wav,0.698171675,0.058107857,282.5917303,324.3045702,544.5665528,0.013136341,-397.6400757,183.9601135,70.15641785,1.139876246,3.218090534,22.19785118,14.83293915,-2.725713253,-1.237478256,12.00551319,12.89956856,1.968507886,-1.868524313,normal
normal_noisynormal_167_1307111318050_A1.wav,0.662180364,0.049097586,350.0394537,372.6151767,698.0941989,0.020454588,-392.2354736,197.2624359,60.97452545,-14.01762009,-2.178895712,22.50126839,11.46163654,-6.53087616,2.537092686,20.43884277,16.39682388,-1.255747437,-5.904323578,normal
normal_noisynormal_296_1311682952647_C.wav,0.696243167,0.075036198,377.9771645,396.2105508,799.0302096,0.021452456,-341.8544006,194.5940552,55.01641083,-19.12837219,-0.958778739,30.27591515,19.37709427,-5.335844994,-3.475631237,12.87755013,13.08247852,1.20617485,0.225201786,normal
normal_noisynormal_159_1307018640315_B.wav,0.714493215,0.134254098,239.0100052,324.1219415,455.5972451,0.010223067,-349.5995789,174.2045898,67.28005981,3.768966436,7.985937595,27.56295204,21.56271935,5.468256474,6.171674728,16.25771523,14.06914616,1.479033947,-3.68716526,normal
normal_noisynormal_173_1307973611151_C1.wav,0.622020483,0.157272875,395.7243769,418.28109,814.9069081,0.022000962,-288.234375,210.3220215,54.29904938,-24.31544113,-1.00005877,32.54745483,19.08994293,-5.317855835,0.805757582,18.05676842,13.58586693,-2.270361423,-3.151480913,normal
normal_noisynormal_173_1307973611151_B.wav,0.548930347,0.171897143,283.8860504,343.3896477,544.0979004,0.015514555,-318.1581726,188.0077972,69.78672028,0.873378038,4.532488823,22.66959763,15.09950447,1.129051924,5.833174229,16.46059418,11.93335724,-0.049736653,-0.872932971,normal
normal_noisynormal_270_1309369533040_A.wav,0.698176861,0.050545558,273.9453579,349.0717677,557.9908288,0.012805707,-409.7731323,170.9366302,62.92035675,1.381953716,8.844995499,28.80796051,18.86052132,-1.495790839,-0.514440238,13.99729347,15.67294598,3.870265722,-1.618844509,normal
normal_noisynormal_168_1307970069434_A1.wav,0.567724705,0.036400646,456.0123136,397.9559036,840.5838539,0.038570009,-412.4325867,198.0914001,54.1892662,-25.28167534,-11.12167645,19.95558167,13.36063194,-4.841851234,2.523076773,21.14793777,19.7948246,3.691091061,-1.853025794,normal
normal_noisynormal_296_1311682952647_D.wav,0.682590008,0.08921279,334.207766,356.6142628,661.9130059,0.019008489,-368.003479,208.8881989,65.77454376,-9.805942535,5.515210152,29.69778824,12.404706,-11.81016636,-4.807977676,14.02242947,12.61896801,-0.129771069,0.461496294,normal
