Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0.1,1.1,2.1
14,-339.76916,230.187795,61.9924148,-20.14446563,12.586268887,47.81302965,10.39597801,3.126514527,-14.802088679,20.35741907,19.32521277,-13.688974737,-8.94072431,-7.43031285,-5.3829196,-7.213063,3.869480266,3.361602443,-3.14359296,5.42824471,-0.182756627,4.616970479,1.28424562,4.571991,-2.6928609205,0.0,0.0,0.0
5,-555.65389,35.35122,60.8589841,-33.7181239,6.34052837,46.97785977,26.245876,-2.554885417,17.172606,15.63646499,11.00455564,7.021166,-7.061086615,10.49100403,7.90884487,3.048946681,-3.403438121,10.958125,3.31165264,1.13928776,1.258599359,-0.8239209666,2.16395654,-1.923793449,-4.5289020015,0.0,0.0,1.0
0,-505.97521,260.14746,75.5940464,6.5148241,-22.455692,28.45878525,15.81572789,15.959787336,5.158058032,19.08867756,7.04074606,-9.294728155,-9.733814107,-6.492527796,6.61466775,-0.557648566,0.855818601,8.975632326,0.80405728,-1.36247556,0.817184251,3.4664362402,0.65032591,-1.030858216,3.313249,0.0,0.0,0.0
102,-399.59131,180.899457,73.5837345,25.08862029,24.643955363,30.34013127,-17.406734,-6.242686551,-11.012193055,27.295866,10.29099505,-14.215159261,-9.966452963,7.317316687,-8.47349969,6.560379,-5.513829496,8.598834306,11.52633225,4.78062714,1.532720813,0.6896350213,-2.15928222,0.162729446,-0.1638823601,0.0,0.0,1.0
73,-454.36166,181.630423,52.6327181,30.84152556,0.727985369,23.22119651,7.16646189,-8.855519513,14.790821202,24.22317301,19.847055,-1.056195726,-0.515021552,-2.524844201,3.36464785,0.637956239,-7.5271244,10.958125,9.9949015,4.95856944,5.1255678,7.3469955527,-6.2220964,-1.910325545,3.313249,0.0,0.0,1.0
18,-596.1798,260.14746,48.0758185,16.38085632,-20.98688369,7.26917448,19.41515814,-14.225202092,17.172606,27.295866,3.09870458,6.748212843,-1.542921679,-3.881515213,11.48753899,4.438725801,5.158548838,9.450681304,-5.68324679,2.31333364,-1.551233147,2.3746822463,0.45265058,1.189181735,-1.1936917774,0.0,0.0,0.0
24,-585.93173,197.821781,2.3315572,-13.65576807,21.061051023,15.47031035,14.80665794,9.352104961,9.970679702,13.88818272,16.73319825,-13.321374463,-10.244868938,-3.938292515,6.02039597,3.275249691,-0.493395222,0.962921202,8.05690338,5.95518388,-2.824395204,-1.0651694442,-6.2220964,-1.767160168,-7.0456808888,0.0,0.0,1.0
10,-521.60136,119.993269,27.6733548,21.23794602,-22.455692,28.6578348,10.66710952,-23.695155363,-7.092915281,27.295866,16.00856327,-13.191695556,-5.869918897,-5.158424849,5.31516424,6.48310298,2.029857282,6.44652584,-7.1673465,7.12580362,1.906540439,4.3554553733,-6.2220964,4.571991,2.3478706054,0.0,0.0,0.0
116,-440.78989,162.321862,33.4827163,63.841328,48.756607,11.66575565,14.93461423,-7.700783636,-0.195474324,27.295866,2.91086808,-0.677831289,4.629624,11.46340805,0.10053901,6.560379,-7.5271244,7.784679126,8.73962227,4.00893248,0.930646272,5.4696039183,4.94574365,-2.217195769,-2.7872629216,0.0,0.0,1.0
67,-561.81993,117.572081,80.830734,28.49995745,-7.286724677,37.48654502,6.8486927,17.4382431,0.079977481,27.295866,14.59960565,-4.805240858,-6.21134211,-4.481499847,-8.64421979,-4.731614314,-7.5271244,10.958125,8.327743,-1.63734112,1.243347054,2.7404296354,-6.2220964,0.790359284,3.313249,0.0,0.0,1.0
